DOPLogNumber,Project,GearType,Year,Month,Date,Station,Region,SerialNumber,Species,Time,Depth,TempSurf,CondSurf,PPTSurf,TempBott,CondBott,PPTBott,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,FullnessRank,DigestionRank,Debris (sand/silt/mud),Unid animal material,Unid plant material
0312,EDSM,KT,2019,7,03-Jul-19,19-49-LSSC02,Sac DW Ship Channel,455,Delta Smelt,11:34,9.8,22.6,507,0.23,,,,52,40.2,0.6829,Y,45,0.0051,2,2,,1,
0314,EDSM,KT,2019,7,03-Jul-19,19-49-LSSC02,Sac DW Ship Channel,459,Delta Smelt,11:34,9.8,22.6,507,0.23,,,,52,40.2,1.1494,Y,54,0.0155,3,3,,1,
0323,EDSM,KT,2019,7,24-Jul-19,19-52-LSSC03,Sac DW Ship Channel,550,Delta Smelt,9:43,10.7,23.6,507,0.23,,,,36,34.6,0.8406,Y,51,0.0036,2,3,,,1
0335,EDSM,KT,2019,7,08-Jul-19,19-50-LSSC02,Sac DW Ship Channel,562,Delta Smelt,8:26,10.6,22.3,522,0.24,,,,53,50.4,0.4183,Y,39,0.0022,2,2,,1,
0339,EDSM,KT,2019,7,29-Jul-19,19-53-LSSC02,Sac DW Ship Channel,566,Delta Smelt,10:34,9.5,24.4,694,0.32,,,,45,25.2,0.6648,Y,47,0.0041,1,3,1,,1
0342,EDSM,KT,2019,9,13-Sep-19,20-07-SBM01,Suisun Bay,201,Delta Smelt,10:04,4.4,21.6,1645,0.81,,,,30,77.3,0.7282,Y,49,0.0031,2,3,1,,
0344,EDSM,KT,2019,9,17-Sep-19,20-08-CF01,Suisun Bay,203,Delta Smelt,12:22,8.8,21.6,619,0.28,,,,47,23.6,1.0327,Y,53,0.0136,4,3,,1,
0351,EDSM,KT,2019,7,30-Jul-19,19-53-LSSC05,Sac DW Ship Channel,342,Delta Smelt,8:31,9.7,24.0,709,0.33,,,,27,54.9,0.7622,Y,50,,3,4,,1,
0352,EDSM,KT,2019,9,09-Sep-19,20-07-LSSC01,Sac DW Ship Channel,474,Delta Smelt,8:38,8.7,22.8,598,0.27,,,,47,23.0,0.2772,Y,37,0.0003,1,3,,1,1
0353,EDSM,KT,2019,9,10-Sep-19,20-07-LSSC03,Sac DW Ship Channel,475,Delta Smelt,11:25,10.2,22.4,439,0.20,,,,54,25.3,0.7455,Y,50,,1,3,,1,
0354,EDSM,KT,2019,10,29-Oct-19,20-14-LSSC05,Sac DW Ship Channel,476,Delta Smelt,10:46,9.2,15.5,627,0.29,,,,22,69.6,0.4420,Y,43,0.0015,1,3,,1,
0360,ELS,MWT,2019,4,23-Apr-19,19-39-SC01,Sac DW Ship Channel,L0493,Delta Smelt,10:04,9.5,15.4,786,0.37,,,,28,17.4,0.0133,Y,16.5,,2,2,,1,
0376,ELS,20mm,2019,4,04-Apr-19,19-36-DI04,Decker Island,L0448,Delta Smelt,11:42,10.5,13.8,137,0.06,,,,59,28.9,0.0016,Y,11.3,,1,3,,1,
0396,ELS,20mm,2019,5,21-May-19,19-43-SC05,Sac DW Ship Channel,L1361,Delta Smelt,12:27,,17.4,730,0.34,,,,35,47.7,0.1327,Y,27,,3,2,,1,
0412,EDSM,20mm,2020,6,02-Jun-20,20-45-LSSC03,Sac DW Ship Channel,Vial 1,Delta Smelt,8:25,8.4,22.0,506,0.23,,,,27,48.2,0.4402,Y,38,0.0054,3,2,,1,
0420,EDSM,KT,2020,8,06-Aug-20,21-02-LSR03,Lower Sacramento,207,Delta Smelt,10:14,9.3,21.9,2027,1.01,,,,60,22.6,0.9344,Y,55,0.0053,3,3,,,1
